#en_reviews,upvoted,early_access
"Honestly a great RPG. It has a lot of replay value and all the hours you'll play will feel great as the story, humour, design and music are all amazing. big recommend",True,False
"One of the Best Multiplayer game , you need to do some strategies to win not like other game cs go etc , every operator have unique gadget , i recommend this game it's not that expensive , of course if you don't want to grind renown buy little bit expensiver version of the game , but i prefer to grind and don't have every operator at the start , cause you get to know how to play with every operator 9/10",True,False
Give me an achievement for buying your game bundle :3 Achievement Request Name: horep Description: Do yuo kno da wae? Picture:,True,False
One of the best game i ahve ever played. Create your alternative history of the world :),True,False
needs improvement in anti cheat engine,True,False
Mini Ninjas 2 when?,True,False
"Metro Exodus the third game in the Metro series is simply one of the most enjoyable game I've ever played, it has a very impressive graphics and gameplay upgrade from the last two games.",True,False
i love persona 5 and this game too💛💛💛💛 and I'd love if persona 5 royal coming to PC💖,True,False
What can i say?  -Awesome gameplay -Awesome skins and customs -Awesome cars -Awesome effects -Awesome music Very easy to play and very fun! What are you waiting for? Play it!  10/10,True,False
best game ever and has tournaments  i hope this game wins the nominate award because its has updates,True,False
"Game is beautiful, Graphics are breathtaking, Brilliant Story, Amazing Gunplay, Immersive Environment / Atmosphere  10/10. Worth every cent paid for this game!",True,False
"Bot Colony is an ambitious title, aiming to provide a non-scripted story by allowing you to freely converse with robots. If you enjoyed literary works like 'Do Androids Dream of Electric Sheep', Isaac Asimov's Robot series, movies like 'Space Oddysey 2001'(not one of my favorites though) or Anime like 'Ghost in the Shell' and 'Psycho-Pass', you'll find a similar setting here.  An important remark is that most of the gameplay is text (or speech) conversations, which at times can be both agitating and humorous, and that might not appeal to everyone.  Currently, the game is made of 2 episodes: Intruder and Arrival.   You have 2 objectives. The first one is erasing evidence of a thief breaking into the house, by commanding a robot (Jimmy). The other one is an investigation mission, which you can do at the same time, in which you question Jimmy about what happened at the house in the last 48 hrs. Jimmy will be saying some of his remarks/facts while moving around the house, which can be used as hints to what to ask. Although it might be a struggle at first, once you get used to commanding Jimmy (i recommend reading through  ). This is the first ""real mission"". it consists of multiple objectives that you'll discover while playing, talking with the receptionist, finding your luggage, , getting a ride to your next location. A memorable moment was the talk with Charlie, a cleaner bot who'll help you with getting your ride.     I enjoyed my playtime with BotColony and I'll be waiting for any further updates. If you have any interest on how the robots operate and your interaction with them, I'm sure you'll also enjoy it. While if you're only focused on 'the result' or why the robot isn't doing what you 'clearly' are telling it, you might have a rough ride. Keep also in mind that the game is an early access title, and not everything is polished yet. I played mostly through typing, Voice recognition is pretty decent with the new Microsoft API, but i find it more convenient to type. That said, voice recognition is not made by the developers and is one of the best available on the market. Also the devs like to hear community feedback, so feel free to drop your thoughts on the forums.",True,True
I . . . don't even have words for this :) Gameplay:,True,False
"Everything you heard about this game is true, It is THAT good.",True,False
Great storyline and really fun gameplay. It really is an emotional rollercoaster throughtout the game and the graphics are absolutely stunning. Only complaint is that theres not enough gameplay! 9/10,True,False
"Okay, great game, good optimisation, but not alot updates, that's sad. Just a bug that i found, some players, will just have randoms crashs, may be borring, but i think that's due to the config.",True,True
a very interesting hat centric game that i paid before it was release as FREE TO PLAY...,True,False
Probably The Only Sims DLC Worth The Price... !,True,False
Tally Ho Chaps ! Chocks Away ! 10/10 would fire bomb Dresden again (legitimate war target) Thank you Bomber Harris Cue Dam Busters theme Salute the Queen !,True,False
It cool,True,False
"If you're like me and you like a tug-o-war like game just like the mods/maps in WC3 and Starcraft2 then you'll find this game right up your alley. PROS: Beautiful looking game Superb soundtrack nice progression (you don't get overwhelmed with stuff and you're gradually given access to every aspect of the game) CONS:  Campaign way too easy (I beat it in 2.7 hours) Short campaign Can win by spamming the same unit over and over and upgrading it. But would still recommend it, thoroughly enjoyed it. As short as it was.",True,False
Awesome game moba style on a 2d platform lots of fun go and buy it !,True,False
"This game gave me aids, also my parents hate me for leaving a hole in the floor the size of my ass.",True,False
One of the best that Scott has pulled out of his sleeve. I have made a challenge that got me at 4000 points on a high score. its not much but its my best,True,False
The best hat wearing simulator hands down!,True,False
Game is really fun everyone should try it,True,True
"*Red vents*  *Blue calls emergency meeting*  Blue:""Red is the impostor, I saw them vent!"" Red: ""No, you didn't see me vent!"" Blue: ""I 100% did!"" Red: ""You're lying! I only vented when no one else was around!"" *Blue was ejected. Blue was not an impostor. 1 Impostor remains.*",True,False
This game is amazing!,True,False
"This game is infuriating but also it relies on skill, so it's very rewarding to see yourself actually progress",True,False
Its fun. Thats it. All I have to say. Its fun.,True,False
"I've been playing videogames for almost 15 years, this is the best one I've ever played.",True,False
This game is one of the best FPS of 2012 2013 2014 2015 and its  good optimized,True,False
its aight,True,True
Didn't reach the end game yet due to the online servers being down. And i don't want to start over from scratch on a new character. But so far the game is extremely fun for me. I enjoy the combat and skills. And its possible to make so many builds with the classless progression. So far only 3 acts are available. But from what i've seen about the end game. That alone will keep you entertained for quite a while.,True,False
Nice game,True,True
good game to play with friends,True,False
Bought on a sale graphics can be a yikes at times and the stealth mission is terrible otherwise the game is interesting and fun,True,False
"pretty much the old game with new graphics, is a lot of fun though",True,True
The Best Game Ever,True,True
Fun game. Brings back memories.,True,False
I bought this game because i want to see Ukraine in this game in the future.,True,False
A very good game. Suprisingly stable and well made for being in pre-alpha. Strongly Recommend,True,True
"Awesome arcade action that will leave you asking, WTF?  There are so many ""nuances"", ie bombs that throw the baddies back to the center, ultra speeding up, and slowing down upon certain death, there is no discounting this PAC MAN is the $hit.  Only problem I have is figuring out why I am still alive?  Sweet thumb destruction...",True,False
Time Travel Mechanic the best of any game. Makes you feel like you are fighting in the time war!,True,False
"After the long time spent hoping for a game that involved smashing Zombies and a sense of humour this game satiated that desire.  The improvements over the Dead Island series in terms of fluidity of movement and combat are just incredible.  I wasn't expecting this game to become a great hit, I was expecting moderate success.  This game showed me up and the expansion was well worth it.",True,False
"Purity without a touch of vulgarity and platitude. Hatred without restrictions of common sense. Love without saccharine. A few distinct personalities, caught in the circumstances or making their own mistakes. Which tragedies will they have to face? How will they overcome or succumb? This story has its unique charm and style. Outstanding visuals and fitting music, blending in with the story. The characters are well-written and alive. The text on its own has a great language. This story is filled with beautiful sayings and events. It has quite a share of surprises and sudden moments which will catch you off guard. It's a long game and I'd prefer the last chapter to be shorter. After the promise of the final closure, I was waiting far too long for it to actually happen. Some music tracks are way too repetitive, especially the happy ones. And even though I really like the way how it's written, the amount of ""......"" is sometimes too annoying. In the end I liked this game, I liked this story. And I really liked some of the characters who felt like good acquaintances of mine in the end.  I picked up this game because of it being constantly called ""the best visual novel on Steam"". I finished it looking at all the entangled threads being tied together in a single picture. How different the stories told here are and how well they all attach together.",True,False
An excellent fun and fast paced game that really gets the adrenaline going. Brings back fond memories of road rash with a new and improved style. Definitely worth buying,True,True
"Old but Gold, on of the best story ever, i love this game",True,False
"This is an amazing game,theres tons of stuff that you can do!I can play this game all day and the fun never ends!With hundreds (maby thousands) of addons that the community makes,theres no way anyone can get tired of this game!",True,False
"I played the game now for a long time, and still enjoy it! If you start playing it, you will never get enough.",True,False
10 rips of 10 fu****g tears! DOOM better than ever! Go and play NOW!,True,False
This game is hilarious!,True,False
"Everything blows up, even you.",True,False
Cringe Operators. But game is good.,True,False
"The game allows a stylistic and aggressive approach to combat, in a way you would not experience in dark souls.  Once the mechanics are mastered, it is incredibly satisfying to just replay the game.",True,False
